latitude,longitude,rainfall_mm_hr,reliability_flag
17.85,80.45,0.0,0
17.95,80.45,0.0,0
18.05,80.45,0.0,0
18.15,80.45,0.0,0
18.25,80.45,0.0,0
18.35,80.45,0.0,0
18.45,80.45,0.0,0
18.55,80.45,0.0,0
18.65,80.45,0.0,0
18.75,80.45,0.0,0
18.85,80.45,0.0,0
18.95,80.45,0.0,0
19.05,80.45,2.6757557,0
19.15,80.45,4.3866916,0
19.25,80.45,4.9410505,0
19.35,80.45,4.8309436,0
19.45,80.45,4.71274,0
19.55,80.45,4.163096,0
19.65,80.45,3.8241723,0
19.75,80.45,2.6749265,0
19.85,80.45,1.3277993,0
19.95,80.45,0.7534263,0
20.05,80.45,0.14713433,0
20.15,80.45,0.0,0
20.25,80.45,0.08101081,0
20.35,80.45,0.08294104,0
20.45,80.45,0.6351954,0
20.55,80.45,0.8938114,0
20.65,80.45,1.0967121,0
20.75,80.45,1.917648,0
20.85,80.45,0.1966124,0
20.95,80.45,0.1378712,0
21.05,80.45,0.13660258,0
21.15,80.45,0.1310031,0
21.25,80.45,0.0,0
21.35,80.45,0.0,0
21.45,80.45,0.0,0
21.55,80.45,0.0,0
21.65,80.45,0.0,0
21.75,80.45,0.0,0
21.85,80.45,0.0,0
21.95,80.45,0.0,0
22.05,80.45,0.0,0
22.15,80.45,0.0,0
22.25,80.45,0.0,0
22.35,80.45,0.0,0
22.45,80.45,0.0,0
22.55,80.45,0.0,0
22.65,80.45,0.0,0
22.75,80.45,0.0,0
17.55,80.55,0.0,0
17.65,80.55,0.0,0
17.75,80.55,0.0,0
17.85,80.55,0.0,0
17.95,80.55,0.0,0
18.05,80.55,0.0,0
18.15,80.55,0.0,0
18.25,80.55,0.0,0
18.35,80.55,0.0,0
18.45,80.55,0.0,0
18.55,80.55,0.0,0
18.65,80.55,0.0,0
18.75,80.55,0.0,0
18.85,80.55,0.0,0
18.95,80.55,1.7412809,0
19.05,80.55,2.6420112,0
19.15,80.55,3.9190807,0
19.25,80.55,4.800321,0
19.35,80.55,5.3164363,0
19.45,80.55,5.232085,0
19.55,80.55,3.7182143,0
19.65,80.55,3.0218463,0
19.75,80.55,2.1494427,0
19.85,80.55,1.4939835,0
19.95,80.55,0.77961373,0
20.05,80.55,0.0,0
20.15,80.55,0.0,0
20.25,80.55,0.13991323,0
20.35,80.55,0.6571013,0
20.45,80.55,0.778505,0
20.55,80.55,1.4704211,0
20.65,80.55,2.1195335,0
20.75,80.55,1.8704622,0
20.85,80.55,0.20082726,0
20.95,80.55,0.13492003,0
21.05,80.55,0.21551146,0
21.15,80.55,0.16196524,0
21.25,80.55,0.0,0
21.35,80.55,0.0,0
21.45,80.55,0.0,0
21.55,80.55,0.0,0
21.65,80.55,0.0,0
21.75,80.55,0.0,0
21.85,80.55,0.0,0
21.95,80.55,0.0,0
22.05,80.55,0.0,0
22.15,80.55,0.0,0
22.25,80.55,0.0,0
22.35,80.55,0.0,0
22.45,80.55,0.0,0
22.55,80.55,0.0,0
22.65,80.55,0.0,0
22.75,80.55,0.0,0
17.55,80.65,0.0,0
17.65,80.65,0.0,0
17.75,80.65,0.0,0
17.85,80.65,0.0,0
17.95,80.65,0.0,0
18.05,80.65,0.0,0
18.15,80.65,0.0,0
18.25,80.65,0.0,0
18.35,80.65,0.0,0
18.45,80.65,0.0,0
18.55,80.65,0.0,0
18.65,80.65,0.0,0
18.75,80.65,0.0,0
18.85,80.65,0.0,0
18.95,80.65,0.0,0
19.05,80.65,2.1116662,0
19.15,80.65,3.3537903,0
19.25,80.65,3.9821677,0
19.35,80.65,4.8807325,0
19.45,80.65,5.1209054,0
19.55,80.65,3.8497424,0
19.65,80.65,2.666567,0
19.75,80.65,1.6074908,0
19.85,80.65,1.028306,0
19.95,80.65,0.0,0
20.05,80.65,0.0,0
20.15,80.65,0.0,0
20.25,80.65,0.17833787,0
20.35,80.65,0.88959587,0
20.45,80.65,0.65873045,0
20.55,80.65,1.1845132,0
20.65,80.65,2.126092,0
20.75,80.65,2.1355436,0
