timestamp,latitude,longitude,rainfall_mm_hr
2026-07-28,17.55,80.05,0.0
2026-07-28,17.65,80.05,0.0
2026-07-28,17.75,80.05,0.0
2026-07-28,17.85,80.05,0.0
2026-07-28,17.95,80.05,0.0
2026-07-28,18.05,80.05,0.0
2026-07-28,18.15,80.05,0.0
2026-07-28,18.25,80.05,0.0
2026-07-28,18.35,80.05,0.0
2026-07-28,18.45,80.05,0.0
2026-07-28,18.55,80.05,0.0
2026-07-28,18.65,80.05,0.3055844
2026-07-28,18.75,80.05,0.36378843
2026-07-28,18.85,80.05,0.5034881
2026-07-28,18.95,80.05,0.546503
2026-07-28,19.05,80.05,0.0
2026-07-28,19.15,80.05,0.0
2026-07-28,19.25,80.05,0.85423136
2026-07-28,19.35,80.05,1.6556647
2026-07-28,19.45,80.05,3.3209555
2026-07-28,19.55,80.05,5.5036235
2026-07-28,19.65,80.05,5.2871313
2026-07-28,19.75,80.05,4.887828
2026-07-28,19.85,80.05,3.3678653
2026-07-28,19.95,80.05,2.4031081
2026-07-28,20.05,80.05,1.1024159
2026-07-28,20.15,80.05,0.49221492
2026-07-28,20.25,80.05,0.45950335
2026-07-28,20.35,80.05,0.0
2026-07-28,20.45,80.05,0.0
2026-07-28,20.55,80.05,0.0
2026-07-28,20.65,80.05,0.1401899
2026-07-28,20.75,80.05,0.13950527
2026-07-28,20.85,80.05,0.09717082
2026-07-28,20.95,80.05,0.09621472
2026-07-28,21.05,80.05,0.10788522
2026-07-28,21.15,80.05,0.13868324
2026-07-28,21.25,80.05,0.25816727
2026-07-28,21.35,80.05,0.8753128
2026-07-28,21.45,80.05,0.0
2026-07-28,21.55,80.05,0.0
2026-07-28,21.65,80.05,0.0
2026-07-28,21.75,80.05,0.0
2026-07-28,21.85,80.05,0.0
2026-07-28,21.95,80.05,0.0
2026-07-28,22.05,80.05,0.0
2026-07-28,22.15,80.05,0.0
2026-07-28,22.25,80.05,0.0
2026-07-28,22.35,80.05,0.0
2026-07-28,22.45,80.05,0.0
2026-07-28,22.55,80.05,0.0
2026-07-28,22.65,80.05,0.0
